time,cost
2022/6/1,0.568931458
2022/6/2,0.178927622
2022/6/3,0.179039906
2022/6/4,0.222725722
2022/6/5,0.222718515
2022/6/6,0.222727343
2022/6/7,0.222734691
2022/6/8,0.222727218
2022/6/9,0.222727711
2022/6/10,0.222671514
2022/6/11,0.219028058
2022/6/12,0.219028265
2022/6/13,0.219255394
2022/6/14,0.221710838
2022/6/15,0.219031586
2022/6/16,0.219031863
2022/6/17,0.219032041
2022/6/18,0.219032338
2022/6/19,0.219032536
2022/6/20,0.219032793
2022/6/21,0.21903302
2022/6/22,0.219033238
2022/6/23,0.219033545
2022/6/24,0.219033723
2022/6/25,0.21903401
2022/6/26,0.219034218
2022/6/27,0.219034485
2022/6/28,0.219034713
2022/6/29,0.21903491
2022/6/30,0.219035197
2022/7/1,0.551730178
2022/7/2,0.171730417
2022/7/3,0.171730666
2022/7/4,0.171847656
2022/7/5,0.211976956
2022/7/6,0.211998076
2022/7/7,0.21197742
2022/7/8,0.212161117
2022/7/9,0.21197801
2022/7/10,0.211978183
2022/7/11,0.211978403
2022/7/12,0.2119787
2022/7/13,0.21197891
2022/7/14,0.211979102
2022/7/15,0.215631924
2022/7/16,0.215698915
2022/7/17,0.215709528
2022/7/18,0.215714871
2022/7/19,0.215708928
2022/7/20,0.215718211
2022/7/21,0.215706953
2022/7/22,0.214893013
2022/7/23,0.212005382
2022/7/24,0.212005641
2022/7/25,0.212005813
2022/7/26,0.212006091
2022/7/27,0.212006292
2022/7/28,0.212006522
2022/7/29,0.212006761
2022/7/30,0.212006972
2022/7/31,0.212007211
2022/8/1,1.411748336
2022/8/2,0.171748566
2022/8/3,0.851748796
2022/8/4,0.21200813
2022/8/5,0.212008417
2022/8/6,0.212008608
2022/8/7,0.212008867
2022/8/8,0.212009049
2022/8/9,0.212009278
2022/8/10,2.159890954
2022/8/11,2.660201108
2022/8/12,2.656742713
2022/8/13,2.657018843
2022/8/14,2.66014812
2022/8/15,0.679240737
2022/8/16,0.908607778
2022/8/17,1.047222994
2022/8/18,1.047223243
2022/8/19,1.047223435
2022/8/20,1.047223684
2022/8/21,1.047223875
2022/8/22,1.047224153
2022/8/23,1.047224354
2022/8/24,1.047224641
2022/8/25,1.047224794
2022/8/26,1.047225053
2022/8/27,1.046946637
2022/8/28,1.047225493
2022/8/29,1.047225723
2022/8/30,1.047225962
2022/8/31,1.047226192
2022/9/1,1.567479502
2022/9/2,0.17747968
2022/9/3,0.177621316
2022/9/4,0.177621544
2022/9/5,0.219088429
2022/9/6,0.219088696
2022/9/7,0.219088894
2022/9/8,0.219089161
2022/9/9,0.219089408
2022/9/10,0.219089615
2022/9/11,1.054289912
2022/9/12,1.05429009
2022/9/13,1.05562739
2022/9/14,1.054291601
2022/9/15,1.054291784
2022/9/16,1.054292031
2022/9/17,1.054292279
2022/9/18,1.054292516
2022/9/19,1.054292783
2022/9/20,1.054292976
2022/9/21,1.054293248
2022/9/22,1.05429351
2022/9/23,1.054293689
2022/9/24,1.05429397
2022/9/25,1.054294183
2022/9/26,1.054294425
2022/9/27,1.054294702
2022/9/28,1.05429489
2022/9/29,1.054295167
2022/9/30,1.054295355
2022/10/1,1.651767925
2022/10/2,0.171768165
2022/10/3,0.171905721
2022/10/4,0.171905989
2022/10/5,0.212035174
2022/10/6,0.212035414
2022/10/7,0.212035672
2022/10/8,0.212035902
2022/10/9,0.212036123
2022/10/10,1.047236362
2022/10/11,1.047236573
2022/10/12,1.047236793
2022/10/13,1.049725563
2022/10/14,1.050966901
2022/10/15,1.04905501
2022/10/16,1.047244699
2022/10/17,1.047244977
2022/10/18,1.047245159
2022/10/19,1.047245389
2022/10/20,1.047245657
2022/10/21,1.047245868
2022/10/22,1.04724605
2022/10/23,1.047246289
2022/10/24,1.0472465
2022/10/25,1.047246739
2022/10/26,1.047246998
2022/10/27,1.04724719
2022/10/28,1.047247458
2022/10/29,1.04724765
2022/10/30,1.047247937
2022/10/31,1.047248119
2022/11/1,0.787497608
2022/11/2,0.177497845
2022/11/3,0.177644004
2022/11/4,0.177644241
2022/11/5,0.177644429
2022/11/6,0.219111344
2022/11/7,0.219111581
2022/11/8,0.219111819
2022/11/9,0.219678272
2022/11/10,0.219113578
2022/11/11,0.220161446
2022/11/12,0.220623675
2022/11/13,0.220621783
2022/11/14,0.220631005
2022/11/15,0.220634686
2022/11/16,0.220638411
2022/11/17,0.220641651
2022/11/18,2.02603666
2022/11/19,0.221080498
2022/11/20,0.228556073
2022/11/21,0.229428995
2022/11/22,0.228549089
2022/11/23,0.22861395
2022/11/24,0.228691065
2022/11/25,0.228594356
2022/11/26,0.228575113
2022/11/27,0.228825575
2022/11/28,0.553840825
2022/11/29,0.228814119
2022/11/30,1.729196549
2022/12/1,1.903706402
2022/12/2,0.893881642
2022/12/3,0.17378175
2022/12/4,0.173786624
2022/12/5,0.373837649
2022/12/6,0.214296123
2022/12/7,0.214198262
2022/12/8,1.333831701
2022/12/9,1.032144762
2022/12/10,1.037898874
2022/12/11,1.038009415
2022/12/12,1.023661787
2022/12/13,1.037964763
2022/12/14,1.029385879
2022/12/15,1.11283892
2022/12/16,1.14145776
2022/12/17,1.144330785
2022/12/18,1.15462919
2022/12/19,1.15273775
2022/12/20,1.134931397
2022/12/21,1.150328952
2022/12/22,1.141588902
2022/12/23,1.131214938
2022/12/24,1.151692224
2022/12/25,1.148157848
2022/12/26,1.03263859
2022/12/27,1.081226855
2022/12/28,1.125856954
2022/12/29,1.113369965
2022/12/30,1.190366604
2022/12/31,1.141717298
2023/1/1,4.870507247
2023/1/2,0.991835484
2023/1/3,0.974689662
2023/1/4,0.971833627
2023/1/5,0.991982744
2023/1/6,0.995541416
2023/1/7,1.00420662
2023/1/8,1.110307036
2023/1/9,1.468266504
2023/1/10,1.790131709
2023/1/11,2.066630163
2023/1/12,1.944504658
2023/1/13,3.66268281
2023/1/14,2.106305775
2023/1/15,1.989080871
2023/1/16,6.879950905
2023/1/17,4.700584627
2023/1/18,1.943709407
2023/1/19,1.862358449
2023/1/20,3.459516737
2023/1/21,2.696413966
2023/1/22,2.749315752
2023/1/23,2.7500786
2023/1/24,2.717156151
2023/1/25,2.749765494
